Cenario,custo_dia,Variavel,Tipo,Beta,SE,p_value,Sig,N_dias,ADD_excedentarias,ADD_exc_lb,ADD_exc_ub,Custo_euros,Custo_euros_lb,Custo_euros_ub
Conservador,100,Feriado,Supressor,-301.8982722204508,42.51671412455352,1.2412993617551386e-12,***,36,-10868.33779993623,-13868.317148564725,-7868.358451307732,-1086833.779993623,-1386831.7148564726,-786835.8451307733
Conservador,100,Tolerancia,Não significativo,0.6754502316358533,72.83359204075587,0.9926006177741749,,12,8.10540277963024,-1704.9406820189479,1721.1514875782086,810.540277963024,-170494.06820189478,172115.14875782086
Conservador,100,Ponte,Conveniência,463.16693306835754,65.49449290421599,1.5288662141473701e-12,***,15,6947.503996025363,5021.965904641413,8873.042087409314,694750.3996025363,502196.5904641413,887304.2087409315
Conservador,100,Pos_Feriado,Conveniência,1315.9906666505137,61.71294974148651,6.743494708852952e-101,***,NA,NA,NA,NA,NA,NA,NA
Conservador,100,Segunda_Comum,Conveniência,1350.8904034828543,67.35541367348543,1.7836503810766467e-89,***,135,182370.20447018533,164547.9620121811,200192.44692818957,18237020.447018534,16454796.20121811,20019244.69281896
Conservador,100,Quarta_Comum,Conveniência,234.31238963804833,72.46473339078668,0.001222970770689634,**,139,32569.42215968872,12827.130194702797,52311.71412467464,3256942.215968872,1282713.0194702796,5231171.412467464
Conservador,100,Jan_Regresso,Conveniência,232.98839025259036,73.2242779727767,0.0014633951004953095,**,26,6057.69814656735,2326.188941074649,9789.20735206005,605769.8146567349,232618.8941074649,978920.7352060049
Conservador,100,Dez_FimAno,Conveniência,204.94803224610683,83.59864581200382,0.014223404508699574,*,14,2869.272451445496,575.3256103641108,5163.219292526881,286927.2451445496,57532.56103641108,516321.9292526881
Central,150,Feriado,Supressor,-301.8982722204508,42.51671412455352,1.2412993617551386e-12,***,36,-10868.33779993623,-13868.317148564725,-7868.358451307732,-1630250.6699904343,-2080247.5722847087,-1180253.76769616
Central,150,Tolerancia,Não significativo,0.6754502316358533,72.83359204075587,0.9926006177741749,,12,8.10540277963024,-1704.9406820189479,1721.1514875782086,1215.810416944536,-255741.1023028422,258172.7231367313
Central,150,Ponte,Conveniência,463.16693306835754,65.49449290421599,1.5288662141473701e-12,***,15,6947.503996025363,5021.965904641413,8873.042087409314,1042125.5994038045,753294.885696212,1330956.3131113972
Central,150,Pos_Feriado,Conveniência,1315.9906666505137,61.71294974148651,6.743494708852952e-101,***,NA,NA,NA,NA,NA,NA,NA
Central,150,Segunda_Comum,Conveniência,1350.8904034828543,67.35541367348543,1.7836503810766467e-89,***,135,182370.20447018533,164547.9620121811,200192.44692818957,27355530.6705278,24682194.301827163,30028867.039228436
Central,150,Quarta_Comum,Conveniência,234.31238963804833,72.46473339078668,0.001222970770689634,**,139,32569.42215968872,12827.130194702797,52311.71412467464,4885413.323953308,1924069.5292054196,7846757.118701196
Central,150,Jan_Regresso,Conveniência,232.98839025259036,73.2242779727767,0.0014633951004953095,**,26,6057.69814656735,2326.188941074649,9789.20735206005,908654.7219851025,348928.34116119734,1468381.1028090075
Central,150,Dez_FimAno,Conveniência,204.94803224610683,83.59864581200382,0.014223404508699574,*,14,2869.272451445496,575.3256103641108,5163.219292526881,430390.86771682434,86298.84155461662,774482.8938790321
Máximo,200,Feriado,Supressor,-301.8982722204508,42.51671412455352,1.2412993617551386e-12,***,36,-10868.33779993623,-13868.317148564725,-7868.358451307732,-2173667.559987246,-2773663.429712945,-1573671.6902615465
Máximo,200,Tolerancia,Não significativo,0.6754502316358533,72.83359204075587,0.9926006177741749,,12,8.10540277963024,-1704.9406820189479,1721.1514875782086,1621.080555926048,-340988.13640378957,344230.2975156417
Máximo,200,Ponte,Conveniência,463.16693306835754,65.49449290421599,1.5288662141473701e-12,***,15,6947.503996025363,5021.965904641413,8873.042087409314,1389500.7992050727,1004393.1809282826,1774608.417481863
Máximo,200,Pos_Feriado,Conveniência,1315.9906666505137,61.71294974148651,6.743494708852952e-101,***,NA,NA,NA,NA,NA,NA,NA
Máximo,200,Segunda_Comum,Conveniência,1350.8904034828543,67.35541367348543,1.7836503810766467e-89,***,135,182370.20447018533,164547.9620121811,200192.44692818957,36474040.89403707,32909592.40243622,40038489.38563792
Máximo,200,Quarta_Comum,Conveniência,234.31238963804833,72.46473339078668,0.001222970770689634,**,139,32569.42215968872,12827.130194702797,52311.71412467464,6513884.431937744,2565426.038940559,10462342.824934928
Máximo,200,Jan_Regresso,Conveniência,232.98839025259036,73.2242779727767,0.0014633951004953095,**,26,6057.69814656735,2326.188941074649,9789.20735206005,1211539.6293134699,465237.7882149298,1957841.4704120099
Máximo,200,Dez_FimAno,Conveniência,204.94803224610683,83.59864581200382,0.014223404508699574,*,14,2869.272451445496,575.3256103641108,5163.219292526881,573854.4902890992,115065.12207282217,1032643.8585053761
