data,dow_n,dow_label,Jan_Regresso,Dez_FimAno,residuo,sigma_n,p_value,sig_bonf,coberto,incluir
2023-05-09,2,Ter,0,0,1000.5992783740253,4,7.63594998807626e-5,TRUE,FALSE,TRUE
2023-12-11,1,Seg,0,0,794.9466273310237,3.1,0.0016747391986057399,TRUE,FALSE,TRUE
2023-12-26,2,Ter,0,1,1774.8634320417532,7,2.277354439066738e-12,TRUE,TRUE,FALSE
2024-01-02,2,Ter,1,0,2084.474217879367,8.2,1.7178077834262403e-16,TRUE,TRUE,FALSE
2024-01-09,2,Ter,1,0,-2056.640950510551,-8.1,4.2833829025668384e-16,TRUE,TRUE,FALSE
2024-12-24,2,Ter,0,0,-786.9255646353729,-3.1,0.0018654502371256631,TRUE,TRUE,FALSE
2025-01-02,4,Qui,1,0,1896.6106906765044,7.5,6.497659432533988e-14,TRUE,TRUE,FALSE
2025-01-06,1,Seg,1,0,1139.2736159087858,4.5,6.676406203796869e-6,TRUE,TRUE,FALSE
2025-01-09,4,Qui,1,0,-1136.627828650139,-4.5,7.013022283934696e-6,TRUE,TRUE,FALSE
2025-04-16,3,Qua,0,0,-900.6863325860759,-3.6,3.7004499999980956e-4,TRUE,FALSE,TRUE
2025-04-22,2,Ter,0,0,1488.1429472914679,5.9,4.031517844017162e-9,TRUE,FALSE,TRUE
2025-04-29,2,Ter,0,0,-873.945917387066,-3.5,5.505697206727375e-4,TRUE,FALSE,TRUE
2025-12-23,2,Ter,0,0,-1253.491706073492,-5,7.22274349715481e-7,TRUE,FALSE,TRUE
2025-12-26,5,Sex,0,1,838.5208879928789,3.3,9.170120367687318e-4,TRUE,TRUE,FALSE
2025-12-29,1,Seg,0,1,955.9766733115982,3.8,1.5736676041144316e-4,TRUE,TRUE,FALSE
2025-12-30,2,Ter,0,1,-1081.0389967991089,-4.3,1.9239348207223607e-5,TRUE,TRUE,FALSE
