Data;Semana do Ano;Origem;Sexo;Grupo Etário;Nº ADD Emitidas
2025-06-24;2025-26;Portal SNS 24;Homem;Dos 19 aos 44 anos;98
2025-06-27;2025-26;APP SNS 24;Mulher;Dos 45 aos 64 anos;91
2025-06-30;2025-27;Portal SNS 24;Mulher;Dos 65 aos 74 anos;6
2025-07-01;2025-27;APP SNS 24;Homem;Dos 19 aos 44 anos;393
2025-07-03;2025-27;APP SNS 24;Mulher;Dos 45 aos 64 anos;119
2025-06-07;2025-23;APP SNS 24;Mulher;Dos 45 aos 64 anos;36
2025-06-10;2025-24;APP SNS 24;Mulher;Dos 45 aos 64 anos;35
2025-06-11;2025-24;APP SNS 24;Mulher;Dos 65 aos 74 anos;6
2025-06-12;2025-24;APP SNS 24;Mulher;Dos 75 aos 79 anos;1
2025-06-15;2025-24;APP SNS 24;Mulher;Dos 45 aos 64 anos;27
2025-06-18;2025-25;APP SNS 24;Homem;Dos 19 aos 44 anos;319
2025-06-20;2025-25;APP SNS 24;Mulher;Dos 45 aos 64 anos;132
2025-06-20;2025-25;APP SNS 24;Homem;Menos de 18 anos;10
2025-06-28;2025-26;APP SNS 24;Homem;Menos de 18 anos;2
2025-07-02;2025-27;Portal SNS 24;Homem;Dos 45 aos 64 anos;63
2025-07-02;2025-27;APP SNS 24;Mulher;Dos 65 aos 74 anos;4
2025-06-04;2025-23;Portal SNS 24;Homem;Dos 65 aos 74 anos;5
2025-06-06;2025-23;APP SNS 24;Mulher;Menos de 18 anos;14
2025-06-11;2025-24;Portal SNS 24;Homem;Dos 19 aos 44 anos;194
2025-06-14;2025-24;APP SNS 24;Mulher;Menos de 18 anos;3
2025-06-17;2025-25;APP SNS 24;Homem;Dos 19 aos 44 anos;340
2025-06-21;2025-25;APP SNS 24;Homem;Dos 19 aos 44 anos;181
2025-06-26;2025-26;APP SNS 24;Mulher;Dos 19 aos 44 anos;370
2025-06-27;2025-26;Portal SNS 24;Homem;Dos 45 aos 64 anos;21
2025-07-03;2025-27;Portal SNS 24;Homem;Dos 45 aos 64 anos;31
2025-06-04;2025-23;APP SNS 24;Mulher;Dos 45 aos 64 anos;221
2025-06-05;2025-23;Portal SNS 24;Homem;Dos 19 aos 44 anos;84
2025-06-09;2025-24;APP SNS 24;Homem;Menos de 18 anos;13
2025-06-12;2025-24;APP SNS 24;Homem;Dos 19 aos 44 anos;319
2025-06-13;2025-24;APP SNS 24;Mulher;Dos 19 aos 44 anos;330
2025-06-14;2025-24;Portal SNS 24;Mulher;Dos 19 aos 44 anos;57
2025-06-19;2025-25;APP SNS 24;Homem;Menos de 18 anos;3
